applicant_id,scheme,st_status,pvtg_status,domicile_matches_st,gender,age_years,course_level,qualifying_marks_pct,family_income_inr,institution_top1000_qs,ministry_notified_institution_course,institution_category,school_government_or_recognized,recognized_course_institution,regular_full_time,admission_secured,admission_offer,admission_certificate,passed_required_qualifying_exam,scheduled_bank_aadhaar_mobile_linked,other_govt_scholarship_same_study,other_scholarship,same_parents_other_child_awarded,previous_nos_award,repeating_same_class,same_stream_requirement_satisfied,fresh_or_renewal,required_documents_complete,document_issue,rule_eligibility,source_pdf,application_ready_for_processing,document_check_result
TEST-0030,National Fellowship Scheme,ST,ST,,Male,37,Ph.D,50.0,950000,,,Deemed University eligible under Section 3,,,True,,,True,,,False,,,,,,,False,Missing PG marksheet,Not Eligible,GuidelinesFellowshipandScholarship2022.pdf,No,Deficiency - missing document
TEST-0031,National Fellowship Scheme,ST,ST,,Male,30,M.Phil,61.0,960000,,,Central/State Government grant institution,,,True,,,True,,,False,,,,,,,True,None,Eligible,GuidelinesFellowshipandScholarship2022.pdf,Yes,Complete - requires verification
TEST-0032,National Fellowship Scheme,ST,ST,,Male,37,M.Phil + Ph.D,52.0,970000,,,Institute of National Importance,,,True,,,True,,,False,,,,,,,True,None,Not Eligible,GuidelinesFellowshipandScholarship2022.pdf,No,Complete - requires verification
TEST-0033,National Fellowship Scheme,ST,PVTG,,Female,32,Ph.D,63.0,980000,,,UGC 2(f)/12(B),,,True,,,True,,,False,,,,,,,True,None,Eligible,GuidelinesFellowshipandScholarship2022.pdf,Yes,Complete - requires verification
TEST-0034,National Fellowship Scheme,ST,ST,,Male,37,M.Phil,54.0,990000,,,Deemed University eligible under Section 3,,,True,,,True,,,False,,,,,,,True,None,Not Eligible,GuidelinesFellowshipandScholarship2022.pdf,No,Complete - requires verification
TEST-0035,National Fellowship Scheme,ST,ST,,Male,34,M.Phil + Ph.D,55.0,1000000,,,Central/State Government grant institution,,,True,,,True,,,False,,,,,,,True,None,Eligible,GuidelinesFellowshipandScholarship2022.pdf,Yes,Complete - requires verification
TEST-0036,National Fellowship Scheme,ST,ST,,Male,37,Ph.D,51.0,1010000,,,Institute of National Importance,,,True,,,True,,,False,,,,,,,True,None,Not Eligible,GuidelinesFellowshipandScholarship2022.pdf,No,Complete - requires verification
TEST-0037,National Fellowship Scheme,ST,ST,,Female,30,M.Phil,57.0,1020000,,,UGC 2(f)/12(B),,,True,,,True,,,False,,,,,,,True,None,Eligible,GuidelinesFellowshipandScholarship2022.pdf,Yes,Complete - requires verification
TEST-0038,National Fellowship Scheme,ST,ST,,Male,37,M.Phil + Ph.D,53.0,1030000,,,Deemed University eligible under Section 3,,,True,,,True,,,False,,,,,,,True,None,Not Eligible,GuidelinesFellowshipandScholarship2022.pdf,No,Complete - requires verification
TEST-0039,National Fellowship Scheme,ST,ST,,Male,32,Ph.D,59.0,1040000,,,Central/State Government grant institution,,,True,,,True,,,False,,,,,,,True,None,Eligible,GuidelinesFellowshipandScholarship2022.pdf,Yes,Complete - requires verification
TEST-0040,National Fellowship Scheme,ST,ST,,Male,37,M.Phil,50.0,1050000,,,Institute of National Importance,,,True,,,True,,,False,,,,,,,True,None,Not Eligible,GuidelinesFellowshipandScholarship2022.pdf,No,Complete - requires verification
TEST-0041,National Fellowship Scheme,ST,PVTG,,Female,34,M.Phil + Ph.D,61.0,1060000,,,UGC 2(f)/12(B),,,True,,,True,,,False,,,,,,,True,None,Eligible,GuidelinesFellowshipandScholarship2022.pdf,Yes,Complete - requires verification
TEST-0042,National Fellowship Scheme,ST,ST,,Male,37,Ph.D,52.0,1070000,,,Deemed University eligible under Section 3,,,True,,,True,,,False,,,,,,,False,Missing admission/joining certificate,Not Eligible,GuidelinesFellowshipandScholarship2022.pdf,No,Deficiency - missing document
TEST-0043,National Fellowship Scheme,ST,ST,,Male,30,M.Phil,63.0,1080000,,,Central/State Government grant institution,,,True,,,True,,,False,,,,,,,True,None,Eligible,GuidelinesFellowshipandScholarship2022.pdf,Yes,Complete - requires verification
TEST-0044,National Fellowship Scheme,ST,ST,,Male,37,M.Phil + Ph.D,54.0,1090000,,,Institute of National Importance,,,True,,,True,,,False,,,,,,,True,None,Not Eligible,GuidelinesFellowshipandScholarship2022.pdf,No,Complete - requires verification
TEST-0045,National Fellowship Scheme,ST,ST,,Female,32,Ph.D,55.0,1100000,,,UGC 2(f)/12(B),,,True,,,True,,,False,,,,,,,True,None,Eligible,GuidelinesFellowshipandScholarship2022.pdf,Yes,Complete - requires verification
TEST-0046,National Fellowship Scheme,ST,ST,,Male,37,M.Phil,51.0,1110000,,,Deemed University eligible under Section 3,,,True,,,True,,,False,,,,,,,True,None,Not Eligible,GuidelinesFellowshipandScholarship2022.pdf,No,Complete - requires verification
TEST-0047,National Fellowship Scheme,ST,ST,,Male,34,M.Phil + Ph.D,57.0,1120000,,,Central/State Government grant institution,,,True,,,True,,,False,,,,,,,True,None,Eligible,GuidelinesFellowshipandScholarship2022.pdf,Yes,Complete - requires verification
TEST-0048,National Fellowship Scheme,ST,ST,,Male,37,Ph.D,53.0,1130000,,,Institute of National Importance,,,True,,,True,,,False,,,,,,,True,None,Not Eligible,GuidelinesFellowshipandScholarship2022.pdf,No,Complete - requires verification
TEST-0049,National Scholarship Scheme (Higher Education),ST,PVTG,,Female,18,Post Graduate,55.0,400000,,True,,,,,True,,,,,False,,,,,,Renewal,True,None,Eligible,GuidelinesFellowshipandScholarship2022.pdf,Yes,Complete - requires verification
TEST-0050,National Scholarship Scheme (Higher Education),ST,ST,,Male,19,Graduate,56.0,670000,,False,,,,,True,,,,,True,,,,,,Fresh,True,None,Not Eligible,GuidelinesFellowshipandScholarship2022.pdf,No,Complete - requires verification
TEST-0051,National Scholarship Scheme (Higher Education),ST,ST,,Male,20,Graduate,57.0,480000,,True,,,,,True,,,,,False,,,,,,Fresh,True,None,Eligible,GuidelinesFellowshipandScholarship2022.pdf,Yes,Complete - requires verification
TEST-0052,National Scholarship Scheme (Higher Education),ST,ST,,Female,21,Post Graduate,58.0,710000,,True,,,,,True,,,,,False,,,,,,Fresh,True,None,Not Eligible,GuidelinesFellowshipandScholarship2022.pdf,No,Complete - requires verification
TEST-0053,National Scholarship Scheme (Higher Education),ST,ST,,Male,22,Graduate,59.0,400000,,True,,,,,True,,,,,False,,,,,,Fresh,False,Missing income certificate,Eligible,GuidelinesFellowshipandScholarship2022.pdf,No,Deficiency - missing document
TEST-0054,National Scholarship Scheme (Higher Education),ST,ST,,Male,23,Graduate,60.0,670000,,False,,,,,True,,,,,False,,,,,,Renewal,True,None,Not Eligible,GuidelinesFellowshipandScholarship2022.pdf,No,Complete - requires verification
TEST-0055,National Scholarship Scheme (Higher Education),ST,ST,,Female,24,Post Graduate,61.0,480000,,True,,,,,True,,,,,False,,,,,,Fresh,True,None,Eligible,GuidelinesFellowshipandScholarship2022.pdf,Yes,Complete - requires verification
TEST-0056,National Scholarship Scheme (Higher Education),ST,ST,,Male,25,Graduate,62.0,710000,,True,,,,,True,,,,,True,,,,,,Fresh,True,None,Not Eligible,GuidelinesFellowshipandScholarship2022.pdf,No,Complete - requires verification
TEST-0057,National Scholarship Scheme (Higher Education),ST,ST,,Male,26,Graduate,63.0,400000,,True,,,,,True,,,,,False,,,,,,Fresh,True,None,Eligible,GuidelinesFellowshipandScholarship2022.pdf,Yes,Complete - requires verification
TEST-0058,National Scholarship Scheme (Higher Education),ST,PVTG,,Female,27,Post Graduate,64.0,670000,,False,,,,,True,,,,,False,,,,,,Fresh,True,None,Not Eligible,GuidelinesFellowshipandScholarship2022.pdf,No,Complete - requires verification
TEST-0059,National Scholarship Scheme (Higher Education),ST,ST,,Male,28,Graduate,65.0,480000,,True,,,,,True,,,,,False,,,,,,Renewal,True,None,Eligible,GuidelinesFellowshipandScholarship2022.pdf,Yes,Complete - requires verification
TEST-0060,National Scholarship Scheme (Higher Education),ST,ST,,Male,29,Graduate,66.0,710000,,True,,,,,True,,,,,False,,,,,,Fresh,True,None,Not Eligible,GuidelinesFellowshipandScholarship2022.pdf,No,Complete - requires verification
TEST-0061,National Scholarship Scheme (Higher Education),ST,ST,,Female,18,Post Graduate,67.0,400000,,True,,,,,True,,,,,False,,,,,,Fresh,True,None,Eligible,GuidelinesFellowshipandScholarship2022.pdf,Yes,Complete - requires verification
TEST-0062,National Scholarship Scheme (Higher Education),ST,ST,,Male,19,Graduate,68.0,670000,,False,,,,,True,,,,,True,,,,,,Fresh,True,None,Not Eligible,GuidelinesFellowshipandScholarship2022.pdf,No,Complete - requires verification
TEST-0063,National Scholarship Scheme (Higher Education),ST,ST,,Male,20,Graduate,69.0,480000,,True,,,,,True,,,,,False,,,,,,Fresh,True,None,Eligible,GuidelinesFellowshipandScholarship2022.pdf,Yes,Complete - requires verification
TEST-0064,National Scholarship Scheme (Higher Education),ST,ST,,Female,21,Post Graduate,70.0,710000,,True,,,,,True,,,,,False,,,,,,Renewal,True,None,Not Eligible,GuidelinesFellowshipandScholarship2022.pdf,No,Complete - requires verification
TEST-0065,National Scholarship Scheme (Higher Education),ST,ST,,Male,22,Graduate,71.0,400000,,True,,,,,True,,,,,False,,,,,,Fresh,False,Missing bank passbook,Eligible,GuidelinesFellowshipandScholarship2022.pdf,No,Deficiency - missing document
TEST-0066,National Scholarship Scheme (Higher Education),ST,ST,,Male,23,Graduate,72.0,670000,,False,,,,,True,,,,,False,,,,,,Fresh,True,None,Not Eligible,GuidelinesFellowshipandScholarship2022.pdf,No,Complete - requires verification
TEST-0067,National Scholarship Scheme (Higher Education),ST,PVTG,,Female,24,Post Graduate,73.0,480000,,True,,,,,True,,,,,False,,,,,,Fresh,True,None,Eligible,GuidelinesFellowshipandScholarship2022.pdf,Yes,Complete - requires verification
TEST-0068,National Scholarship Scheme (Higher Education),ST,ST,,Male,25,Graduate,74.0,710000,,True,,,,,True,,,,,True,,,,,,Fresh,True,None,Not Eligible,GuidelinesFellowshipandScholarship2022.pdf,No,Complete - requires verification
TEST-0069,National Scholarship Scheme (Higher Education),ST,ST,,Male,26,Graduate,55.0,400000,,True,,,,,True,,,,,False,,,,,,Renewal,True,None,Eligible,GuidelinesFellowshipandScholarship2022.pdf,Yes,Complete - requires verification
TEST-0070,National Scholarship Scheme (Higher Education),ST,ST,,Female,27,Post Graduate,56.0,670000,,False,,,,,True,,,,,False,,,,,,Fresh,True,None,Not Eligible,GuidelinesFellowshipandScholarship2022.pdf,No,Complete - requires verification
TEST-0071,National Scholarship Scheme (Higher Education),ST,ST,,Male,28,Graduate,57.0,480000,,True,,,,,True,,,,,False,,,,,,Fresh,True,None,Eligible,GuidelinesFellowshipandScholarship2022.pdf,Yes,Complete - requires verification
TEST-0072,National Scholarship Scheme (Higher Education),ST,ST,,Male,29,Graduate,58.0,710000,,True,,,,,True,,,,,False,,,,,,Fresh,True,None,Not Eligible,GuidelinesFellowshipandScholarship2022.pdf,No,Complete - requires verification
TEST-0073,Pre-Matric Scholarship for ST Students,ST,,True,Female,13,Class IX,,180000,,,,True,,,,,,,True,,False,,,False,,,True,None,Eligible,guidelinesPrematric.pdf,Yes,Complete - requires verification
TEST-0074,Pre-Matric Scholarship for ST Students,ST,,True,Male,14,Class X,,275000,,,,False,,,,,,,False,,True,,,False,,,True,None,Not Eligible,guidelinesPrematric.pdf,No,Complete - requires verification
TEST-0075,Pre-Matric Scholarship for ST Students,ST,,True,Male,15,Class IX,,200000,,,,True,,,,,,,True,,False,,,False,,,True,None,Eligible,guidelinesPrematric.pdf,Yes,Complete - requires verification
TEST-0076,Pre-Matric Scholarship for ST Students,ST,,True,Male,16,Class X,,305000,,,,True,,,,,,,True,,False,,,False,,,True,None,Not Eligible,guidelinesPrematric.pdf,No,Complete - requires verification
TEST-0077,Pre-Matric Scholarship for ST Students,ST,,True,Female,13,Class IX,,180000,,,,True,,,,,,,True,,False,,,False,,,True,None,Eligible,guidelinesPrematric.pdf,Yes,Complete - requires verification
TEST-0078,Pre-Matric Scholarship for ST Students,ST,,True,Male,14,Class X,,275000,,,,False,,,,,,,True,,False,,,False,,,True,None,Not Eligible,guidelinesPrematric.pdf,No,Complete - requires verification
TEST-0079,Pre-Matric Scholarship for ST Students,ST,,True,Male,15,Class IX,,200000,,,,True,,,,,,,True,,False,,,False,,,False,Missing domicile certificate,Eligible,guidelinesPrematric.pdf,No,Deficiency - missing document
TEST-0080,Pre-Matric Scholarship for ST Students,ST,,True,Male,16,Class X,,305000,,,,True,,,,,,,True,,True,,,False,,,True,None,Not Eligible,guidelinesPrematric.pdf,No,Complete - requires verification
TEST-0081,Pre-Matric Scholarship for ST Students,ST,,True,Female,13,Class IX,,180000,,,,True,,,,,,,True,,False,,,False,,,True,None,Eligible,guidelinesPrematric.pdf,Yes,Complete - requires verification
TEST-0082,Pre-Matric Scholarship for ST Students,ST,,True,Male,14,Class X,,275000,,,,False,,,,,,,True,,False,,,False,,,True,None,Not Eligible,guidelinesPrematric.pdf,No,Complete - requires verification
TEST-0083,Pre-Matric Scholarship for ST Students,ST,,True,Male,15,Class IX,,200000,,,,True,,,,,,,True,,False,,,False,,,True,None,Eligible,guidelinesPrematric.pdf,Yes,Complete - requires verification
TEST-0084,Pre-Matric Scholarship for ST Students,ST,,True,Male,16,Class X,,305000,,,,True,,,,,,,False,,False,,,False,,,True,None,Not Eligible,guidelinesPrematric.pdf,No,Complete - requires verification
TEST-0085,Pre-Matric Scholarship for ST Students,ST,,True,Female,13,Class IX,,180000,,,,True,,,,,,,True,,False,,,False,,,True,None,Eligible,guidelinesPrematric.pdf,Yes,Complete - requires verification
TEST-0086,Pre-Matric Scholarship for ST Students,ST,,True,Male,14,Class X,,275000,,,,False,,,,,,,True,,True,,,False,,,True,None,Not Eligible,guidelinesPrematric.pdf,No,Complete - requires verification
TEST-0087,Pre-Matric Scholarship for ST Students,ST,,True,Male,15,Class IX,,200000,,,,True,,,,,,,True,,False,,,False,,,True,None,Eligible,guidelinesPrematric.pdf,Yes,Complete - requires verification
TEST-0088,Pre-Matric Scholarship for ST Students,ST,,True,Male,16,Class X,,305000,,,,True,,,,,,,True,,False,,,False,,,True,None,Not Eligible,guidelinesPrematric.pdf,No,Complete - requires verification
TEST-0089,Pre-Matric Scholarship for ST Students,ST,,True,Female,13,Class IX,,180000,,,,True,,,,,,,True,,False,,,False,,,True,None,Eligible,guidelinesPrematric.pdf,Yes,Complete - requires verification
TEST-0090,Pre-Matric Scholarship for ST Students,ST,,True,Male,14,Class X,,275000,,,,False,,,,,,,True,,False,,,False,,,True,None,Not Eligible,guidelinesPrematric.pdf,No,Complete - requires verification
TEST-0091,Pre-Matric Scholarship for ST Students,ST,,True,Male,15,Class IX,,200000,,,,True,,,,,,,True,,False,,,False,,,False,Missing family income certificate,Eligible,guidelinesPrematric.pdf,No,Deficiency - missing document
TEST-0092,Pre-Matric Scholarship for ST Students,ST,,True,Male,16,Class X,,305000,,,,True,,,,,,,True,,True,,,False,,,True,None,Not Eligible,guidelinesPrematric.pdf,No,Complete - requires verification
TEST-0093,Pre-Matric Scholarship for ST Students,ST,,True,Female,13,Class IX,,180000,,,,True,,,,,,,True,,False,,,False,,,True,None,Eligible,guidelinesPrematric.pdf,Yes,Complete - requires verification
TEST-0094,Pre-Matric Scholarship for ST Students,ST,,True,Male,14,Class X,,275000,,,,False,,,,,,,False,,False,,,False,,,True,None,Not Eligible,guidelinesPrematric.pdf,No,Complete - requires verification
TEST-0095,Pre-Matric Scholarship for ST Students,ST,,True,Male,15,Class IX,,200000,,,,True,,,,,,,True,,False,,,False,,,True,None,Eligible,guidelinesPrematric.pdf,Yes,Complete - requires verification
TEST-0096,Pre-Matric Scholarship for ST Students,ST,,True,Male,16,Class X,,305000,,,,True,,,,,,,True,,False,,,False,,,True,None,Not Eligible,guidelinesPrematric.pdf,No,Complete - requires verification
TEST-0097,Post Matric Scholarship for ST Students,ST,,True,Female,16,Class XI-XII,45.0,180000,,,,,True,,,,,True,True,,False,,,,True,,True,None,Eligible,guidelinesPostmatric.pdf,Yes,Complete - requires verification
TEST-0098,Post Matric Scholarship for ST Students,ST,,True,Male,17,Diploma,46.0,270000,,,,,False,,,,,True,False,,True,,,,True,,True,None,Not Eligible,guidelinesPostmatric.pdf,No,Complete - requires verification
TEST-0099,Post Matric Scholarship for ST Students,ST,,True,Male,18,Undergraduate,47.0,204000,,,,,True,,,,,True,True,,False,,,,True,,True,None,Eligible,guidelinesPostmatric.pdf,Yes,Complete - requires verification
TEST-0100,Post Matric Scholarship for ST Students,ST,,True,Female,19,Post Graduate,48.0,300000,,,,,True,,,,,True,True,,False,,,,True,,True,None,Not Eligible,guidelinesPostmatric.pdf,No,Complete - requires verification
TEST-0101,Post Matric Scholarship for ST Students,ST,,True,Male,20,Class XI-XII,49.0,228000,,,,,True,,,,,True,True,,False,,,,True,,True,None,Eligible,guidelinesPostmatric.pdf,Yes,Complete - requires verification
TEST-0102,Post Matric Scholarship for ST Students,ST,,True,Male,21,Diploma,50.0,270000,,,,,False,,,,,True,True,,False,,,,True,,True,None,Not Eligible,guidelinesPostmatric.pdf,No,Complete - requires verification
TEST-0103,Post Matric Scholarship for ST Students,ST,,True,Female,22,Undergraduate,51.0,192000,,,,,True,,,,,True,True,,False,,,,True,,True,None,Eligible,guidelinesPostmatric.pdf,Yes,Complete - requires verification
TEST-0104,Post Matric Scholarship for ST Students,ST,,True,Male,23,Post Graduate,52.0,300000,,,,,True,,,,,True,True,,True,,,,True,,False,Missing ST certificate,Not Eligible,guidelinesPostmatric.pdf,No,Deficiency - missing document
TEST-0105,Post Matric Scholarship for ST Students,ST,,True,Male,24,Class XI-XII,53.0,216000,,,,,True,,,,,True,True,,False,,,,True,,True,None,Eligible,guidelinesPostmatric.pdf,Yes,Complete - requires verification
TEST-0106,Post Matric Scholarship for ST Students,ST,,True,Female,25,Diploma,54.0,270000,,,,,False,,,,,True,True,,False,,,,True,,True,None,Not Eligible,guidelinesPostmatric.pdf,No,Complete - requires verification
TEST-0107,Post Matric Scholarship for ST Students,ST,,True,Male,16,Undergraduate,55.0,180000,,,,,True,,,,,True,True,,False,,,,True,,True,None,Eligible,guidelinesPostmatric.pdf,Yes,Complete - requires verification
TEST-0108,Post Matric Scholarship for ST Students,ST,,True,Male,17,Post Graduate,56.0,300000,,,,,True,,,,,True,False,,False,,,,True,,True,None,Not Eligible,guidelinesPostmatric.pdf,No,Complete - requires verification
TEST-0109,Post Matric Scholarship for ST Students,ST,,True,Female,18,Class XI-XII,57.0,204000,,,,,True,,,,,True,True,,False,,,,True,,True,None,Eligible,guidelinesPostmatric.pdf,Yes,Complete - requires verification
TEST-0110,Post Matric Scholarship for ST Students,ST,,True,Male,19,Diploma,58.0,270000,,,,,False,,,,,True,True,,True,,,,True,,True,None,Not Eligible,guidelinesPostmatric.pdf,No,Complete - requires verification
TEST-0111,Post Matric Scholarship for ST Students,ST,,True,Male,20,Undergraduate,59.0,228000,,,,,True,,,,,True,True,,False,,,,True,,True,None,Eligible,guidelinesPostmatric.pdf,Yes,Complete - requires verification
TEST-0112,Post Matric Scholarship for ST Students,ST,,True,Female,21,Post Graduate,60.0,300000,,,,,True,,,,,True,True,,False,,,,True,,True,None,Not Eligible,guidelinesPostmatric.pdf,No,Complete - requires verification
TEST-0113,Post Matric Scholarship for ST Students,ST,,True,Male,22,Class XI-XII,61.0,192000,,,,,True,,,,,True,True,,False,,,,True,,True,None,Eligible,guidelinesPostmatric.pdf,Yes,Complete - requires verification
TEST-0114,Post Matric Scholarship for ST Students,ST,,True,Male,23,Diploma,62.0,270000,,,,,False,,,,,True,True,,False,,,,True,,True,None,Not Eligible,guidelinesPostmatric.pdf,No,Complete - requires verification
TEST-0115,Post Matric Scholarship for ST Students,ST,,True,Female,24,Undergraduate,63.0,216000,,,,,True,,,,,True,True,,False,,,,True,,True,None,Eligible,guidelinesPostmatric.pdf,Yes,Complete - requires verification
TEST-0116,Post Matric Scholarship for ST Students,ST,,True,Male,25,Post Graduate,64.0,300000,,,,,True,,,,,True,True,,True,,,,True,,False,Missing domicile certificate,Not Eligible,guidelinesPostmatric.pdf,No,Deficiency - missing document
